x_over_h,cf_dns_exactmatch
2.660156250000000000e+00,-4.573748084297473392e-03
2.671875000000000000e+00,-4.561682264367596454e-03
2.683593750000000000e+00,-4.549190428552269891e-03
2.695312500000000000e+00,-4.525874931647379945e-03
2.707031250000000000e+00,-4.501542937511921263e-03
2.718750000000000000e+00,-4.469397066017987037e-03
2.730468750000000000e+00,-4.440751069373842334e-03
2.742187500000000000e+00,-4.407818594518356399e-03
2.753906250000000000e+00,-4.380214940198795884e-03
2.765625000000000000e+00,-4.348116637800959576e-03
2.777343750000000000e+00,-4.320017700794147320e-03
2.789062500000000000e+00,-4.287750397013991889e-03
2.800781250000000000e+00,-4.260162324716150299e-03
2.812500000000000000e+00,-4.228712601870110964e-03
2.824218750000000000e+00,-4.203171373984590162e-03
2.835937500000000000e+00,-4.176275497566240072e-03
2.847656250000000000e+00,-4.157267431969879218e-03
2.859375000000000000e+00,-4.135453984981982134e-03
2.871093750000000000e+00,-4.116351507730535431e-03
2.882812500000000000e+00,-4.091220700959643207e-03
2.894531250000000000e+00,-4.069823384296200955e-03
2.906250000000000000e+00,-4.044799215164048868e-03
2.917968750000000000e+00,-4.023407079636504534e-03
2.929687500000000000e+00,-3.996343791704062842e-03
2.941406250000000000e+00,-3.972903213280064467e-03
2.953125000000000000e+00,-3.946593437068225338e-03
2.964843750000000000e+00,-3.926186513320562184e-03
2.976562500000000000e+00,-3.903797591037433488e-03
2.988281250000000000e+00,-3.888022957700495389e-03
3.000000000000000000e+00,-3.872201025934179312e-03
3.011718750000000000e+00,-3.863365523019145036e-03
3.023437500000000000e+00,-3.852008719274564903e-03
3.035156250000000000e+00,-3.845441544891429510e-03
3.046875000000000000e+00,-3.835688405858139489e-03
3.058593750000000000e+00,-3.828242081444399765e-03
3.070312500000000000e+00,-3.813646547573981780e-03
3.082031250000000000e+00,-3.799060095165725497e-03
3.093750000000000000e+00,-3.777089532217137949e-03
3.105468750000000000e+00,-3.754869233091001884e-03
3.117187500000000000e+00,-3.726595136835137052e-03
3.128906250000000000e+00,-3.701790971218790662e-03
3.140625000000000000e+00,-3.672997329378627131e-03
3.152343750000000000e+00,-3.646252450601573849e-03
3.164062500000000000e+00,-3.613547700658526363e-03
3.175781250000000000e+00,-3.581709345397512435e-03
3.187500000000000000e+00,-3.543814072305917062e-03
3.199218750000000000e+00,-3.508865934029950940e-03
3.210937500000000000e+00,-3.472252005645955382e-03
3.222656250000000000e+00,-3.441553769428565106e-03
3.234375000000000000e+00,-3.408990085479397195e-03
3.246093750000000000e+00,-3.379222116981577071e-03
3.257812500000000000e+00,-3.343459171360107108e-03
3.269531250000000000e+00,-3.308754371431051836e-03
3.281250000000000000e+00,-3.270299002290211806e-03
3.292968750000000000e+00,-3.235630041625801086e-03
3.304687500000000000e+00,-3.195814567360252042e-03
